id,name,aadhaar,bank_account,bank_name,address,district,scheme,amount,dob,mobile,registration_date
1049,Savita Joshi,627685406189,15427057480,Bank of India,"House 829, New Colony, Bilaspur",Bilaspur,PMSBY Insurance,1437.26,1977-10-22,9722981916,2023-09-08
1050,Prakash Mukherjee,631533139799,51413770431,Canara Bank,"House 890, Nehru Vihar, Goalpara",Goalpara,PMSBY Insurance,1800.06,1968-04-09,9868121941,2025-02-06
1051,Vinod Jha,001931890835,43125182454,Bank of Baroda,"House 14, Nehru Vihar, Bhopal",Bhopal,PM Awas Yojana,123583.0,1971-02-15,9644974643,2023-09-22
1052,Kavita Devi,973920988628,14934343811,Bank of Baroda,"House 354, Ambedkar Nagar, Lakhimpur",Lakhimpur,MGNREGA,9738.12,1972-07-28,9311339897,2025-11-25
1053,Deepak Joshi,923613846489,08269510189,Punjab National Bank,"House 670, Nehru Vihar, Allahabad",Allahabad,PM Ujjwala,1706.04,1915-06-23,9236751483,2021-08-16
1054,Vandana Mehta,699467352511,45816304220,Canara Bank,"House 152, Rampur, Jorhat",Jorhat,PM Fasal Bima,10324.33,1956-11-20,9182140077,2024-02-09
1055,Nisha Rani,936127379172,92831873972,Punjab National Bank,"House 919, Gandhi Nagar, Dhubri",Dhubri,Ayushman Bharat,22628.87,1987-10-06,9697930522,2021-06-17
1056,Anjali Sharma,993885251474,04872286994,Punjab National Bank,"House 364, Sardar Patel Nagar, Kanpur",Kanpur,Ayushman Bharat,28014.4,1997-09-28,9539706389,2023-04-30
1057,Shanti Thakur,576804660198,06985626315,Central Bank,"House 556, Nehru Vihar, Ludhiana",Ludhiana,NSAP Pension,2606.02,1976-12-11,9134828066,2022-12-24
1058,Munni Shah,524760731092,14636003122,Punjab National Bank,"House 257, Nehru Vihar, Darbhanga",Darbhanga,MGNREGA,13498.49,1998-05-09,9639835794,2024-02-02
1059,Vijay Das,407045248354,69786666153,Union Bank,"House 594, Ambedkar Nagar, Jorhat",Jorhat,PM Fasal Bima,23554.08,1990-10-31,9079927265,2023-02-15
1060,Asha Singh,874050629848,12689928532,State Bank of India,"House 814, Gandhi Nagar, Darbhanga",Darbhanga,PMKVY Skill Dev,13782.19,1962-05-02,9486987091,2023-06-02
1061,Kiran Kewat,912922527239,50344408372,Bank of Baroda,"House 44, Krishnanagar, Kanpur",Kanpur,PMKVY Skill Dev,8610.63,1966-04-11,9993360909,2021-02-08
1062,Rajesh Nirmalkar,087241559402,44206391784,Central Bank,"House 544, Sardar Patel Nagar, Sivasagar",Sivasagar,MGNREGA,4808.8,1960-12-05,9039675591,2025-10-02
1063,Kamla Patel,533454047927,56028553361,Canara Bank,"House 43, Azad Nagar, Bilaspur",Bilaspur,PM Fasal Bima,24263.59,1989-10-05,9637718133,2025-06-08
1064,Ramesh Nath,555274255160,55902903005,Allahabad Bank,"House 973, Subhash Nagar, Gorakhpur",Gorakhpur,NSAP Pension,2062.51,1997-04-17,9509289878,2022-02-19
1065,Munni Chauhan,569660917230,60470459169,Bank of Baroda,"House 550, Bapunagar, Darbhanga",Darbhanga,NSAP Pension,2431.69,1972-11-17,9476862360,2021-12-28
1066,Vinod Naidu,302181603669,44988596809,Punjab National Bank,"House 739, Lal Bahadur Nagar, Patna",Patna,NSAP Pension,5991.6,1965-12-08,9753602802,2022-02-26
1067,Rajesh Nath,557611039246,31582530764,Bank of Baroda,"House 58, Rajiv Nagar, Gorakhpur",Gorakhpur,PMSBY Insurance,1948.3,1984-06-03,9390631202,2022-08-18
1068,Meera Yadav,766310691189,76012591276,Central Bank,"House 682, New Colony, Jodhpur",Jodhpur,PMKVY Skill Dev,16079.95,1963-05-26,9682643520,2025-08-10
1069,Pooja Kewat,060437813923,02538788785,Union Bank,"House 481, Lal Bahadur Nagar, Patna",Patna,PMSBY Insurance,1217.05,1926-04-09,9795533664,2024-04-29
1070,Sunil Iyer,331562868632,49055945447,UCO Bank,"House 625, Ambedkar Nagar, Udaipur",Udaipur,NSAP Pension,2230.89,1978-06-25,9467939433,2023-06-23
1071,Munni Mishra,288545901220,59052598022,Bank of Baroda,"House 121, Indira Colony, Gorakhpur",Gorakhpur,Ayushman Bharat,29878.15,1967-03-11,9000852876,2022-07-15
1072,Yogesh Nair,840947477085,32427625896,State Bank of India,"House 888, Subhash Nagar, Darbhanga",Darbhanga,PM Fasal Bima,15571.3,1978-11-20,9737151115,2022-07-13
1073,Savita Rani,480820810576,19657518722,Punjab National Bank,"House 129, Sardar Patel Nagar, Barpeta",Barpeta,PM Awas Yojana,147818.96,1999-12-09,9460007990,2021-09-28
1074,Sanjay Verma,621887323085,95899527967,Canara Bank,"House 206, Krishnanagar, Jorhat",Jorhat,PMSBY Insurance,1690.62,1982-12-14,9782722651,2022-12-10
1075,Anita Nath,863852216725,88383402221,Union Bank,"House 626, Subhash Nagar, Varanasi",Varanasi,PMSBY Insurance,1913.87,1992-02-16,9045272619,2021-08-02
1076,Sunita Kumar,442716477291,36628204470,Canara Bank,"House 563, Ambedkar Nagar, Raipur",Raipur,PMKVY Skill Dev,15513.72,1976-12-07,9734046540,2023-12-25
1077,Rajesh Nath,700436742709,68195227684,Bank of India,"House 43, New Colony, Jaipur",Jaipur,PM-KISAN,3296.27,1979-06-01,9902230887,2022-05-04
1078,Ganesh Mehta,844161979086,34136063984,State Bank of India,"House 954, Rajiv Nagar, Nagaon",Nagaon,PM Fasal Bima,18844.08,1982-04-17,9692888943,2025-10-21
1079,Rekha Lodhi,471072942783,19887950880,UCO Bank,"House 85, Shantinagar, Lakhimpur",Lakhimpur,Ayushman Bharat,46673.48,1974-10-19,9389705378,2021-12-24
1080,Naresh Naidu,393565181162,96441158124,Punjab National Bank,"House 805, Netaji Nagar, Jodhpur",Jodhpur,PM Ujjwala,2702.86,1965-04-30,9979286913,2023-01-27
1081,Deepak Joshi,535054324636,56018830842,Central Bank,"House 804, Lal Bahadur Nagar, Jabalpur",Jabalpur,PM Ujjwala,3092.95,1977-08-01,9678899430,2025-05-18
1082,Mahesh Nirmalkar,096477843101,96811901238,Canara Bank,"House 118, Shantinagar, Sivasagar",Sivasagar,Ayushman Bharat,42665.74,1960-10-03,9035118523,2022-10-29
1083,Asha Mehta,104713913613,79472131790,Allahabad Bank,"House 725, Krishnanagar, Nagaon",Nagaon,NSP Scholarship,8460.87,1960-10-31,9891899355,2024-08-13
1084,Mahesh Naidu,751039856329,71059894852,Central Bank,"House 914, Nehru Vihar, Raipur",Raipur,PMSBY Insurance,1223.58,1960-08-16,9753752124,2024-06-24
1085,Mukesh Kahar,590195777702,73135951443,Union Bank,"Plot No.4, Near Panchayat Office, Sonitpur",Gaya,NSP Scholarship,7109.39,1992-01-08,9249929907,2021-02-10
1086,Ramesh Lodhi,893531059124,44450194876,UCO Bank,"House 852, New Colony, Ludhiana",Ludhiana,NSP Scholarship,5511.01,1925-07-05,9432451998,2025-05-20
1087,Munni Mehta,238743016005,75412548203,Indian Bank,"House 489, Ambedkar Nagar, Amritsar",Amritsar,PMSBY Insurance,1212.06,2001-04-01,9954746984,2021-01-12
1088,Rakesh Sharma,025062489166,31401505454,Canara Bank,"House 274, Sardar Patel Nagar, Raipur",Raipur,Ayushman Bharat,41870.77,1969-06-21,9920802113,2024-07-14
1089,Rekha Tiwari,405753690254,85302863985,Bank of India,"House 627, Sardar Patel Nagar, Varanasi",Varanasi,PMSBY Insurance,1990.78,1969-11-05,9560575552,2022-06-09
1090,Kiran Pandey,903300065115,16179330531,Central Bank,"House 927, Bapunagar, Dhubri",Dhubri,PMSBY Insurance,1750.95,1988-04-25,9516123413,2022-03-03
1091,Ritu Kurmi,329951008600,89620547600,Union Bank,"House 319, Model Town, Kanpur",Kanpur,PM-KISAN,2948.99,1994-02-05,9552108843,2020-10-14
1092,Geeta Maurya,761625187458,14747450526,Central Bank,"House 701, Sardar Patel Nagar, Sonitpur",Sonitpur,PM Fasal Bima,8814.85,1990-09-23,9286815931,2023-10-08
1093,Rakesh Pillai,641091642948,01739843758,Bank of Baroda,"House 578, Nehru Vihar, Gaya",Gaya,NSP Scholarship,11708.92,1960-11-30,9016800420,2022-07-03
1094,Umesh Maurya,264223044957,15763642959,Allahabad Bank,"House 896, Rajiv Nagar, Raipur",Raipur,NSAP Pension,2223.1,1991-12-22,9477887739,2022-01-18
1095,Usha Roy,128258968892,93786580092,Bank of India,"House 935, Model Town, Gorakhpur",Gorakhpur,NSAP Pension,5696.72,2001-02-28,9716911639,2022-07-28
1096,Leela Jha,325744269470,40153898609,UCO Bank,"House 486, New Colony, Ludhiana",Ludhiana,PM-KISAN,3965.94,2000-01-09,9664411514,2025-12-07
1097,Rajan Patel,307963083706,20388336428,Bank of India,"House 838, Gandhi Nagar, Sonitpur",Sonitpur,PM Ujjwala,1793.6,1980-04-20,9264247923,2021-01-06
1098,Sunita Thakur,822163982446,91101054694,State Bank of India,"House 593, Shantinagar, Darrang",Darrang,PMSBY Insurance,1276.98,1966-12-31,9393253396,2025-03-25
1099,Mohan Shah,575280197627,69022749291,Canara Bank,"House 764, Lal Bahadur Nagar, Indore",Indore,Ayushman Bharat,20377.7,1968-02-26,9619387515,2022-08-02
1100,Rekha Ghosh,523625165311,81235465666,State Bank of India,"Plot No.5, Near Panchayat Office, Gaya",Gaya,NSP Scholarship,8145.93,1965-07-30,9509100116,2022-09-11
1101,Kavita Jha,501135660570,40999887587,Bank of India,"House 353, Model Town, Lakhimpur",Lakhimpur,PM-KISAN,2586.25,1966-08-06,9711944546,2025-01-18
1102,Vinod Kahar,754635967358,23150982361,UCO Bank,"House 666, Netaji Nagar, Kamrup",Kamrup,PMSBY Insurance,1798.88,1983-12-07,9898307007,2022-10-13
1103,Bharat Sharma,582711681973,87689029909,UCO Bank,"House 660, Netaji Nagar, Barpeta",Barpeta,PMKVY Skill Dev,9297.41,1958-02-03,9435899737,2023-08-07
1104,Mukesh Gupta,659706460343,67725798758,Punjab National Bank,"House 636, Indira Colony, Nagaon",Nagaon,PM Ujjwala,2645.14,1961-02-11,9346938492,2025-09-17
1105,Nisha Chatterjee,274360171328,98837252258,Bank of Baroda,"House 433, Indira Colony, Muzaffarpur",Muzaffarpur,PM Ujjwala,3180.71,1995-10-11,9714888581,2023-02-25
1106,Ashok Sahu,466434964603,56388885004,Indian Bank,"House 678, Rajiv Nagar, Amritsar",Amritsar,NSP Scholarship,7759.22,1978-08-08,9592091317,2024-01-08
1107,Parvati Lodhi,213851437422,66780582391,Bank of India,"House 100, Nehru Vihar, Muzaffarpur",Muzaffarpur,PMSBY Insurance,1463.78,1933-03-16,9445959337,2023-05-18
1108,Rajan Shah,506580160621,67824155960,Canara Bank,"House 800, Netaji Nagar, Sonitpur",Sonitpur,Ayushman Bharat,13300.07,1983-09-12,9948450242,2024-12-22
1109,Sanjay Iyer,950133309857,57349645738,Union Bank,"House 233, Sardar Patel Nagar, Sonitpur",Sonitpur,PM Ujjwala,2872.92,1992-08-15,9276504347,2024-09-03
1110,Deepak Nair,374986254585,71359308908,Canara Bank,"House 94, Gandhi Nagar, Kamrup",Kamrup,NSP Scholarship,4443.6,1994-04-30,9407969700,2020-12-03
1111,Rekha Jha,905679581141,43676017236,Indian Bank,"House 635, Model Town, Lucknow",Lucknow,PMKVY Skill Dev,8928.11,1964-07-23,9088270740,2024-11-08
1112,Vijay Thakur,223554157701,66905253947,Canara Bank,"House 423, Model Town, Jaipur",Jaipur,NSAP Pension,3939.4,2000-07-25,9549916646,2024-04-04
1113,Umesh Kewat,314364838608,09828714512,Indian Bank,"House 677, Sardar Patel Nagar, Ludhiana",Ludhiana,Ayushman Bharat,15314.97,1961-06-02,9717947970,2025-07-08
1114,Yogesh Thakur,509288225730,36302315978,Punjab National Bank,"House 911, Shantinagar, Jaipur",Jaipur,NSP Scholarship,10578.87,1981-03-29,9419801496,2024-12-03
1115,Rekha Roy,617908378135,35578926573,Allahabad Bank,"House 985, Azad Nagar, Ludhiana",Ludhiana,PM Awas Yojana,133609.98,1992-10-03,9441962396,2021-10-20
1116,Usha Thakur,190560114176,89834248995,Central Bank,"House 612, Subhash Nagar, Bhopal",Bhopal,PM Fasal Bima,5323.22,1976-10-28,9769949388,2021-07-16
1117,Lalita Tiwari,329138458779,61769402878,State Bank of India,"House 434, Netaji Nagar, Gorakhpur",Gorakhpur,PMSBY Insurance,1796.67,1987-06-01,9064558310,2022-01-13
1118,Sunil Pandey,565093159372,74266238093,Canara Bank,"House 709, Rajiv Nagar, Udaipur",Udaipur,NSP Scholarship,10031.88,1993-03-29,9029264969,2025-01-20
1119,Anjali Tiwari,866280312492,66579628353,State Bank of India,"House 882, Ambedkar Nagar, Muzaffarpur",Muzaffarpur,PM Fasal Bima,16456.91,1975-01-16,9377899188,2024-08-07
1120,Meera Kurmi,857547213594,49479027137,UCO Bank,"House 176, Rampur, Sonitpur",Sonitpur,PMSBY Insurance,1554.4,1927-04-17,9796583698,2025-10-13
1121,Rakesh Verma,973658650094,58230666411,Bank of India,"House 781, Rampur, Bhagalpur",Bhagalpur,PM Ujjwala,2470.24,1962-04-07,9296464882,2021-10-24
1122,Deepak Thakur,886725560130,81550816399,Bank of India,"House 851, Gandhi Nagar, Indore",Indore,PM Fasal Bima,24503.44,1988-05-11,9682761685,2022-12-17
1123,Pushpa Rajput,476934825830,09993897512,Allahabad Bank,"House 873, Gandhi Nagar, Kamrup",Kamrup,Ayushman Bharat,7025.83,1964-04-22,9811970643,2025-01-23
1124,Ramesh Thakur,363184656490,26088318923,State Bank of India,"House 517, Rampur, Sonitpur",Sonitpur,PM Ujjwala,527151.38,1986-10-02,9032812251,2024-11-27
1125,Anil Thakur,092319408071,93987695100,Central Bank,"House 364, Krishnanagar, Udaipur",Udaipur,MGNREGA,13202.72,1970-03-31,9194027740,2023-04-16
1126,Kamla Joshi,820490366929,05024888487,Canara Bank,"House 668, Netaji Nagar, Varanasi",Varanasi,PMSBY Insurance,1980.35,1984-02-27,9601100941,2024-07-20
1127,Parvati Iyer,394602609957,38002062771,State Bank of India,"House 119, Krishnanagar, Gaya",Gaya,Ayushman Bharat,20219.68,1976-10-01,9022211108,2025-07-14
1128,Pushpa Gupta,751909202106,53166123737,Punjab National Bank,"House 329, Gandhi Nagar, Bhopal",Bhopal,PMKVY Skill Dev,9692.7,1972-01-28,9520442946,2023-03-12
1129,Suresh Kahar,627206745459,47305018110,UCO Bank,"House 814, Gandhi Nagar, Goalpara",Goalpara,MGNREGA,11065.71,1963-11-12,9798841321,2024-05-30
1130,Saroj Mehta,061243450477,01680475561,Bank of India,"House 568, Indira Colony, Indore",Indore,PM Ujjwala,1862.87,2000-08-15,9175173386,2024-03-09
1131,Tulsi Das,995699164123,16008681347,Bank of India,"House 510, Gandhi Nagar, Ludhiana",Ludhiana,NSP Scholarship,6702.99,1964-02-25,9682525088,2025-11-22
1132,Ashok Gupta,947255526218,42567904735,Allahabad Bank,"House 522, Model Town, Sivasagar",Sivasagar,PMKVY Skill Dev,19725.73,1982-08-22,9422445207,2024-10-02
1133,Ganga Shah,044206780388,40974342268,Union Bank,"House 141, Rajiv Nagar, Sivasagar",Sivasagar,PM Fasal Bima,16907.18,1956-05-18,9120128266,2025-10-31
1134,Geeta Sharma,443633695022,84820088524,Bank of India,"House 64, Subhash Nagar, Dhubri",Dhubri,NSP Scholarship,5406.93,1958-01-23,9976588692,2025-10-26
1135,Mangala Joshi,151071971910,90848473325,Union Bank,"House 404, Gandhi Nagar, Darrang",Darrang,PMKVY Skill Dev,10752.06,1957-02-03,9350861330,2020-11-01
1136,Kamla Rajput,062910051063,77037649004,Indian Bank,"House 119, Shantinagar, Jorhat",Jorhat,PMKVY Skill Dev,8310.51,1986-10-16,9356942552,2025-02-19
1137,Babli Kahar,570248504811,77355537162,Union Bank,"House 714, New Colony, Muzaffarpur",Muzaffarpur,Ayushman Bharat,30928.53,1999-07-31,9428638210,2022-04-19
1138,Hitesh Rajput,992601297204,85950847411,Canara Bank,"House 634, Shantinagar, Barpeta",Barpeta,PMKVY Skill Dev,19245.37,1978-09-12,9048321346,2021-05-04
1139,Yogesh Jha,184762724584,07179156931,State Bank of India,"House 583, Indira Colony, Bhagalpur",Bhagalpur,PM Fasal Bima,15486.04,1959-08-26,9769692760,2024-10-26
1140,Ramesh Thakur,365639746996,64103896936,UCO Bank,"House 233, Nehru Vihar, Jaipur",Jaipur,PM-KISAN,4015.9,1978-02-04,9321737431,2021-04-19
1141,Kiran Kahar,907476869277,26604190838,Union Bank,"House 84, Model Town, Jodhpur",Jodhpur,MGNREGA,10800.48,1957-01-17,9747809292,2022-07-23
1142,Usha Sharma,230511057741,79677934983,Indian Bank,"House 30, Rajiv Nagar, Bhagalpur",Bhagalpur,Ayushman Bharat,32487.92,1995-11-24,9004513806,2021-07-14
1143,Sunil Joshi,236351200176,34758028696,Allahabad Bank,"House 284, Bapunagar, Bilaspur",Bilaspur,Ayushman Bharat,33033.89,1988-05-24,9795277727,2022-02-12
1144,Asha Kahar,008223933325,80760751928,UCO Bank,"House 567, Lal Bahadur Nagar, Jodhpur",Jodhpur,Ayushman Bharat,16692.68,1997-09-14,9448912918,2024-06-12
1145,Rekha Nirmalkar,913455674407,48344911607,Union Bank,"House 601, Model Town, Kanpur",Kanpur,NSAP Pension,4146.84,1982-01-29,9105833240,2024-05-27
1146,Mukesh Das,126692359981,87494333957,Indian Bank,"House 550, Shantinagar, Indore",Indore,PM Ujjwala,2874.24,2000-08-25,9077128742,2025-12-05
1147,Suman Mukherjee,858336476860,09933301381,UCO Bank,"House 187, Subhash Nagar, Bhopal",Bhopal,Ayushman Bharat,33450.41,2000-05-24,9237703738,2024-01-03
1148,Rajesh Mishra,941374458728,60278344984,Central Bank,"House 368, Rajiv Nagar, Gorakhpur",Gorakhpur,MGNREGA,8106.4,1978-06-11,9671909045,2025-02-28
1149,Asha Singh,865827534824,05557537198,UCO Bank,"House 764, New Colony, Amritsar",Amritsar,PMKVY Skill Dev,9885.97,1991-03-25,9745101988,2022-03-28
1150,Neha Maurya,739069309752,09949244155,Union Bank,"House 755, Lal Bahadur Nagar, Indore",Indore,PM Awas Yojana,124124.44,1981-12-19,9556350886,2021-01-30
1151,Rakesh Thakur,749803318849,54986278133,Bank of India,"House 83, Rajiv Nagar, Bilaspur",Bilaspur,PM-KISAN,5083.23,1994-11-06,9644981034,2021-07-22
1152,Saroj Rani,776563305779,77104832305,Indian Bank,"House 757, Indira Colony, Goalpara",Goalpara,NSAP Pension,2814.76,1991-07-25,9836665724,2025-10-31
1153,Kiran Singh,347141533821,92880430934,Indian Bank,"House 250, Bapunagar, Gorakhpur",Gorakhpur,PMKVY Skill Dev,17199.25,1977-08-14,9655597578,2021-10-25
1154,Vijay Nirmalkar,272543487906,37661983211,State Bank of India,"House 495, Krishnanagar, Varanasi",Varanasi,PMKVY Skill Dev,11802.83,1961-09-25,9763151190,2021-11-09
1155,Hitesh Kumar,663365726435,89468178388,UCO Bank,"House 589, Rajiv Nagar, Lakhimpur",Lakhimpur,PM Awas Yojana,130238.58,1976-03-14,9935032344,2020-12-09
1156,Sunita Sahu,450176823971,87750693920,Bank of India,"House 486, New Colony, Gaya",Gaya,Ayushman Bharat,48389.18,1962-05-02,9263865554,2024-09-22
1157,Parvati Mehta,288164316197,78044359088,Central Bank,"House 270, Model Town, Lucknow",Lucknow,Ayushman Bharat,44574.32,1956-05-16,9138192053,2025-08-25
1158,Dinesh Verma,252756519754,58011309277,Canara Bank,"House 151, Azad Nagar, Raipur",Raipur,PM Awas Yojana,139202.68,1962-10-19,9961708373,2025-12-17
1159,Vinod Iyer,126470650465,78692659404,Bank of Baroda,"House 356, Lal Bahadur Nagar, Jorhat",Jorhat,PMSBY Insurance,1473.92,1964-11-29,9637779619,2025-07-12
1160,Deepak Nath,102621501581,71287717537,Bank of India,"House 847, Rajiv Nagar, Darbhanga",Darbhanga,PM Fasal Bima,17389.2,1981-10-13,9709078802,2025-12-18
1161,Prakash Reddy,805200805093,33714922835,Indian Bank,"House 42, Model Town, Barpeta",Barpeta,PMSBY Insurance,1713.12,1980-11-21,9491097984,2022-09-13
1162,Mamta Naidu,809817047027,45292938799,Indian Bank,"House 520, Model Town, Jabalpur",Jabalpur,PM Awas Yojana,123735.86,1973-02-11,9126694095,2023-09-19
1163,Vandana Kurmi,280346066448,83497327288,Central Bank,"House 367, Sardar Patel Nagar, Jaipur",Jaipur,PM-KISAN,4924.72,1978-03-20,9653757313,2023-04-09
1164,Mangala Nirmalkar,715538490302,01631901958,Punjab National Bank,"House 656, Rajiv Nagar, Jabalpur",Jabalpur,NSP Scholarship,5829.54,1977-11-02,9805593758,2023-05-09
1165,Rekha Kumar,892343685339,61466728672,Allahabad Bank,"House 942, Rajiv Nagar, Dhubri",Dhubri,NSAP Pension,2670.57,1961-06-28,9232753768,2024-10-12
1166,Prakash Mehta,154257585390,80245317722,Bank of India,"House 935, Model Town, Patna",Patna,MGNREGA,14139.05,1976-08-18,9385025405,2023-12-19
1167,Saroj Sahu,811508512454,25436686729,Central Bank,"House 456, Subhash Nagar, Ludhiana",Ludhiana,PM Awas Yojana,137901.01,1996-08-28,9379742730,2024-07-09
1168,Naresh Sahu,587015077088,97545235635,Allahabad Bank,"House 771, Lal Bahadur Nagar, Sonitpur",Sonitpur,Ayushman Bharat,36728.7,1981-09-20,9136301284,2025-04-01
1169,Vijay Yadav,353910035705,78973016158,State Bank of India,"House 428, Sardar Patel Nagar, Varanasi",Varanasi,PMKVY Skill Dev,11958.93,1925-11-22,9434519851,2022-05-12
1170,Shanti Das,237053212478,56573502653,Union Bank,"House 488, Model Town, Sivasagar",Sivasagar,PM Awas Yojana,141584.68,1986-11-05,9187944727,2024-10-07
1171,Rekha Mallah,938088272901,69383155489,Punjab National Bank,"House 480, Rampur, Kamrup",Kamrup,PM Awas Yojana,127205.77,1963-02-16,9058698486,2025-02-04
1172,Devaki Maurya,933770343925,95900861050,Bank of India,"House 619, Lal Bahadur Nagar, Darrang",Darrang,Ayushman Bharat,19916.73,1992-11-10,9170504264,2024-05-31
1173,Shanti Kewat,705073770563,36246290234,State Bank of India,"House 979, New Colony, Jaipur",Jaipur,NSAP Pension,2249.6,1963-10-01,9021943494,2024-09-12
1174,Ashok Yadav,976265819417,67580230926,Canara Bank,"House 347, Model Town, Barpeta",Barpeta,NSP Scholarship,10814.07,1988-04-06,9760714631,2021-06-07
1175,Yogesh Ghosh,162985136593,00027501542,Canara Bank,"House 251, Rajiv Nagar, Darbhanga",Darbhanga,Ayushman Bharat,12068.75,1960-01-23,9421718810,2020-11-03
1176,Yogesh Ghosh,133880979794,94872878573,Central Bank,"House 623, Gandhi Nagar, Nagaon",Nagaon,PMSBY Insurance,1903.06,1995-02-16,9129382896,2021-09-14
1177,Hitesh Singh,581689400868,61998104843,Bank of Baroda,"House 829, Shantinagar, Lakhimpur",Lakhimpur,PM Fasal Bima,10525.47,1976-05-13,9559931589,2024-01-16
1178,Rajan Devi,302252387258,37198845833,UCO Bank,"House 355, Bapunagar, Udaipur",Udaipur,NSAP Pension,4611.1,1978-12-22,9844467265,2022-02-11
1179,Guddi Nair,143074310610,73170577936,Punjab National Bank,"House 329, Gandhi Nagar, Muzaffarpur",Muzaffarpur,NSAP Pension,2655.5,1997-07-28,9698871842,2024-05-17
1180,Babli Iyer,098689418376,38474177827,Union Bank,"House 857, Sardar Patel Nagar, Dhubri",Dhubri,PM Fasal Bima,10297.41,1996-10-19,9618351259,2023-08-24
1181,Ashok Roy,441290159593,23623090050,Union Bank,"House 459, New Colony, Lucknow",Lucknow,NSAP Pension,4782.7,1983-12-24,9836394315,2025-08-31
1182,Ramesh Mukherjee,358589002019,89309492761,Central Bank,"House 215, Rajiv Nagar, Ludhiana",Ludhiana,PM Ujjwala,2657.37,1956-04-17,9158207719,2021-10-26
1183,Rajan Bose,175983566010,66819081506,Bank of India,"House 906, Nehru Vihar, Bhopal",Bhopal,PM Ujjwala,2407.01,1962-09-26,9052415780,2023-06-19
1184,Leela Thakur,797965189254,94519100533,Bank of Baroda,"House 717, Krishnanagar, Darbhanga",Darbhanga,PMSBY Insurance,1619.57,1980-08-07,9838520848,2023-01-29
1185,Saroj Nirmalkar,863860555403,49881003081,Allahabad Bank,"House 891, Netaji Nagar, Jorhat",Jorhat,NSP Scholarship,10812.68,1987-05-18,9382147645,2021-10-04
1186,Parvati Nath,388858056140,40686628127,Central Bank,"House 887, Azad Nagar, Ludhiana",Ludhiana,Ayushman Bharat,42286.9,1975-01-01,9016248559,2025-09-16
1187,Vijay Pillai,885102817419,25882781271,Bank of India,"House 495, Shantinagar, Gorakhpur",Gorakhpur,PM Fasal Bima,7819.4,1993-12-22,9650866127,2021-06-01
1188,Prakash Iyer,640748163654,48326231632,Bank of Baroda,"Plot No.5, Near Panchayat Office, Gaya",Lakhimpur,MGNREGA,10117.63,1976-02-24,9229735418,2021-05-31
1189,Anita Nirmalkar,592263794097,44561039618,Canara Bank,"House 202, New Colony, Darbhanga",Darbhanga,NSP Scholarship,10881.42,1966-09-01,9372382167,2021-02-14
1190,Anita Thakur,861817764226,08695324740,State Bank of India,"House 85, Lal Bahadur Nagar, Darrang",Darrang,PMKVY Skill Dev,15693.19,1961-04-27,9054008267,2021-09-14
1191,Mukesh Roy,622466625106,78033525509,Bank of Baroda,"House 378, Krishnanagar, Sivasagar",Sivasagar,PM Ujjwala,2193.43,2000-11-26,9797362783,2024-01-03
1192,Guddi Mallah,558130896424,57534573750,State Bank of India,"House 685, Azad Nagar, Ludhiana",Ludhiana,NSAP Pension,4975.68,2000-11-25,9119060415,2025-06-25
1193,Naresh Das,075570735507,64104867122,Indian Bank,"House 255, Ambedkar Nagar, Barpeta",Barpeta,PMSBY Insurance,1429.5,1966-12-20,9014681748,2025-09-05
1194,Prakash Ghosh,327301792700,09036124828,Bank of Baroda,"House 756, Gandhi Nagar, Dhubri",Dhubri,MGNREGA,7254.62,2000-07-30,9198012576,2024-08-03
1195,Sanjay Bind,551914862851,69306333684,Canara Bank,"House 261, New Colony, Amritsar",Amritsar,PM Ujjwala,1870.81,1961-10-01,9431430839,2023-02-05
1196,Mamta Singh,372993431100,28851108668,UCO Bank,"House 790, Ambedkar Nagar, Kanpur",Kanpur,MGNREGA,4415.45,1977-08-12,9559531276,2022-03-16
1197,Rajesh Iyer,466227730718,75566374376,Bank of Baroda,"House 908, Rampur, Jabalpur",Jabalpur,Ayushman Bharat,29161.47,1962-06-01,9608014824,2025-03-27
1198,Priya Iyer,220310728213,64493523452,Punjab National Bank,"House 847, Azad Nagar, Barpeta",Barpeta,PMSBY Insurance,1343.48,1987-12-07,9870464595,2021-06-26
1199,Asha Yadav,179985981345,66800841559,Indian Bank,"House 19, Ambedkar Nagar, Kanpur",Kanpur,PMKVY Skill Dev,9924.54,1998-11-25,9319853005,2025-10-19
1200,Vijay Kurmi,503254452831,74602058327,Indian Bank,"House 735, Lal Bahadur Nagar, Dhubri",Dhubri,Ayushman Bharat,42285.74,1996-08-14,9054304963,2021-03-11
1201,Ganga Jha,727522715545,37659008372,Union Bank,"House 484, New Colony, Amritsar",Amritsar,NSAP Pension,5966.33,1987-10-09,9581416638,2021-07-05
1202,Devaki Maurya,445368180093,14565107831,Central Bank,"House 425, New Colony, Jaipur",Jaipur,NSP Scholarship,3370.58,1974-11-16,9335228878,2025-03-12
1203,Neha Rajput,216915315443,72568927204,Canara Bank,"House 613, Indira Colony, Kanpur",Kanpur,Ayushman Bharat,30936.96,1989-10-03,9390323418,2022-10-27
1204,Savita Sharma,242578392819,72571453088,Indian Bank,"House 978, Netaji Nagar, Jabalpur",Jabalpur,MGNREGA,13388.43,1956-09-22,9619199810,2024-07-16
